Protein.ID	Control-Symbiosome_PValue	Control-Symbiosome_AdjPVal	Control-Symbiosome_log2FoldChange	featureAvg	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE1160	0.00344343725190975	0.00741137156867994	1.86717150571562	26.5122784197237	26.7807023147597	26.8133813076048	26.894636012283	27.1832836875738	26.0473064924193	26.9547934228865	NA	NA	24.9118457005389	NA	NA	NA
AIPGENE11602	NA	NA	NA	NA	21.7327574156154	NA	21.4291419745409	20.3824833553878	20.3473769745941	21.3905052562656	NA	NA	NA	NA	NA	NA
AIPGENE11605	NA	NA	NA	NA	21.7189197191636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11610	0.002045749172846	0.00466574372754351	2.16679466045994	24.7493660597427	25.2050566391241	25.2803041376446	24.3337762564272	25.6301750156388	25.1437458229722	24.7603910527579	NA	22.8921134936342	NA	NA	NA	NA
AIPGENE11614	0.0369268568514523	0.0601565337179048	0.915798402656911	22.1396213224462	22.5383305132147	22.3120207053823	23.1322844893338	22.5253547270984	21.9072381821836	NA	22.2621133077659	NA	NA	NA	21.5592310847696	20.8803975698214
AIPGENE11620	NA	NA	NA	NA	22.861558961879	NA	21.9806734376134	NA	23.0051175496723	NA	NA	NA	NA	NA	NA	NA
AIPGENE11621	NA	NA	NA	NA	21.9704746009513	NA	21.5501182969516	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11623	NA	NA	NA	NA	22.6314912226865	NA	NA	22.754169592654	22.8390824185059	23.226757755127	NA	NA	NA	NA	NA	NA
AIPGENE11626	NA	NA	NA	NA	22.8985142435418	21.1424593537384	22.8423790598355	20.1188135739695	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.1430552809496	25.7550000881177	25.9432709764914	26.0048346878913	26.0777647852625	26.2433705898897
AIPGENE1163	NA	NA	NA	NA	NA	NA	22.9925995589084	22.2398362442208	21.5488727476406	NA	NA	NA	NA	NA	NA	NA
AIPGENE11638	NA	NA	NA	NA	22.8981353238241	24.4081603016297	24.0017717620525	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11641	NA	NA	NA	NA	23.8863393866181	NA	21.8236987458835	25.6328156565873	24.6835985482512	23.5067843736783	NA	NA	NA	NA	NA	NA
AIPGENE11666	NA	NA	NA	NA	NA	NA	22.1374803184037	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11679	NA	NA	NA	NA	21.3877540584953	NA	21.3070055688808	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11684	1.59281197359366e-09	2.79818319685373e-08	4.83415977610443	29.3768703024494	31.1323447450671	31.016117584217	30.7904320157625	30.7359614717321	31.1197573637675	31.1349281863593	25.5849079424916	26.2531583278012	26.6242250848467	NA	NA	NA
AIPGENE11699	NA	NA	NA	NA	NA	NA	22.2411985918943	22.3022656069052	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11701	0.0278013440093299	0.0472433080223705	0.704217397521194	28.9040713867686	28.9557956454733	28.9458440639317	29.4951749342381	29.2071366024382	29.5097513829874	29.4233778841064	28.0107757608707	28.0485664193338	28.1989119727502	29.6214129724107	28.3660672559654	29.0660417467171
AIPGENE11714	0.0592344418895501	0.0875054255186535	-0.920512997867366	25.285565258017	24.9887482164834	23.5655569534002	25.0923755857719	25.0290793863293	25.5568062233271	24.7192861891877	27.3321460672312	24.2394240666704	25.9181376646279	25.8200215572862	26.1019294806901	25.063271705198
AIPGENE11718	0.00654901630130334	0.0130980326026067	1.0497867497902	24.0287094668496	24.5655704951539	23.7715258873543	23.7597733203067	24.7989275294766	24.7770191411612	25.0189286271413	NA	23.3185335726949	23.2221177967172	23.9703755576485	23.0843227408413	NA
AIPGENE11731	NA	NA	NA	NA	NA	NA	NA	NA	22.8586722646973	21.8784902426193	NA	NA	NA	NA	NA	NA
AIPGENE11735	NA	NA	NA	NA	21.570988775302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11736	0.316724578800483	0.374310865855116	-0.806681624812402	21.5543782718161	NA	NA	NA	21.1510374594099	NA	NA	NA	21.9577190842223	NA	NA	NA	NA
AIPGENE11752	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.0997420541803	23.2971250243147	NA	NA	NA
AIPGENE11754	0.681305395250239	0.736852756926215	-0.266210786479093	23.4712988182244	NA	23.2938249605717	NA	NA	NA	NA	NA	23.8948259455361	23.2252455485655	NA	NA	NA
AIPGENE11758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.417008869232	23.7856988057579	24.3530135288177	23.7430924547375	21.114839348179	NA
AIPGENE1176	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.4412757876514	NA	NA	NA	NA	NA	NA
AIPGENE11763	NA	NA	NA	NA	22.1729570187835	NA	NA	23.6663724777875	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11779	NA	NA	NA	NA	22.0519835836903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11785	NA	NA	NA	NA	NA	NA	NA	22.5779434525197	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE11786	NA	NA	NA	NA	22.2713634834951	NA	NA	23.6029315636664	22.4189834078448	NA	NA	NA	NA	NA	NA	NA
AIPGENE11792	NA	NA	NA	NA	24.3082196406715	24.104901194162	25.9834947001274	25.4643830767292	25.772319816384	26.9977502059523	NA	NA	NA	NA	NA	NA
AIPGENE11799	NA	NA	NA	NA	21.5762164765569	22.6645844009038	22.5734349665417	NA	23.5236530149983	NA	NA	NA	NA	NA	NA	NA
AIPGENE11800	NA	NA	NA	NA	23.2631559654757	22.9157972400451	23.9878105894382	23.5575277228137	24.0225423310801	NA	NA	NA	NA	NA	NA	NA
AIPGENE11806	0.614016710954429	0.675314487513331	0.356897217574605	23.1984200192122	NA	NA	NA	23.0228432783406	22.7272457753111	24.1128439171657	NA	22.9307471060312	NA	NA	NA	NA
AIPGENE11828	0.0015533432969597	0.00364502939719786	1.28634090070092	25.6338681675663	25.9641832662016	25.7672457878533	26.1777770614438	26.097841913651	26.0422194084938	25.6834529188055	NA	24.4448958984115	24.8933290856697	NA	NA	NA
AIPGENE11855	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.8585908440651	NA	NA	NA	NA	NA	NA
AIPGENE11868	NA	NA	NA	NA	NA	NA	NA	NA	20.7386194957697	NA	NA	NA	NA	NA	NA	NA
AIPGENE11873	NA	NA	NA	NA	25.9914967751168	25.4564756712336	25.1564694962609	25.5202328970026	26.2801454973241	24.9581078090302	NA	NA	NA	NA	NA	NA
AIPGENE11899	0.09776609567024	0.134808408025232	0.850671490874298	25.0135536602716	25.7309997824152	25.120598009708	25.618228164751	25.1479399801531	25.9541670211392	24.5510005815612	23.7686966683796	25.2888481333146	25.7398931190106	NA	23.2151651422832	NA
AIPGENE11908	NA	NA	NA	NA	23.8600713796908	23.9833036162887	23.6459372607063	23.5898120267305	24.2793249179376	24.1251545588068	NA	NA	NA	NA	NA	NA
AIPGENE11940	0.726017659350348	0.774895695529928	-0.0776326666091016	24.1966870712275	23.9450566896754	24.1463589506514	24.2198474186993	24.3257199909217	23.8564307861821	24.4538105914076	24.1350828947653	23.8722493307738	24.2361125632585	24.555025816721	23.8783348259664	24.7362149957071
AIPGENE11954	NA	NA	NA	NA	NA	NA	23.0279297577528	NA	22.983552834093	22.8319098556905	NA	NA	NA	NA	NA	NA
