"Protein.ID","Control.Symbiosome_PValue","Control.Symbiosome_AdjPVal","Control.Symbiosome_log2FoldChange","featureAvg","CycLoess_Con1","CycLoess_Con2","CycLoess_Con3","CycLoess_Con4","CycLoess_Con5","CycLoess_Con6","CycLoess_Sym1","CycLoess_Sym2","CycLoess_Sym3","CycLoess_Sym4","CycLoess_Sym5","CycLoess_Sym6"
"AIPGENE25344",NA,NA,NA,NA,NA,NA,22.2814208397373,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIPGENE25361",NA,NA,NA,NA,24.569673695267,25.9479047339672,24.5302210602011,24.9506169586187,25.2463861880795,24.1870726976471,NA,NA,NA,NA,NA,NA
"AIPGENE2538",NA,NA,NA,NA,22.8517296127728,NA,24.0174915753044,22.5685878679857,24.5109870502194,NA,NA,NA,NA,NA,NA,NA
"AIPGENE25392",NA,NA,NA,NA,21.8763665303336,NA,22.1051465524382,24.1299389639201,22.2199788771969,NA,NA,NA,NA,NA,NA,NA
"AIPGENE25395",2.97917539277585e-09,4.55190286756682e-08,-3.1280062760089,29.0750484547687,27.8111546136882,26.9644952044615,27.1238237905853,27.6886704655259,27.8022367775108,27.6758910488137,30.9292010521538,30.4409695776025,29.9535290568667,30.9429750242586,30.9894654595335,30.5781693862237
"AIPGENE25401",NA,NA,NA,NA,23.7874606625595,22.0964546540964,21.8121902588242,22.7882738959138,22.9130541891868,NA,NA,NA,NA,NA,NA,NA
"AIPGENE25408",0.663464387258215,0.718115489997772,0.237411873257713,24.201379441524,23.8893898216598,25.1151818688727,24.8679992583841,25.1352248943815,24.7324597994749,22.0378095021898,23.8724958784019,NA,24.3733163406813,NA,23.8032261247538,24.1866909264407
"AIPGENE25411",9.23440000860897e-07,6.07495960926651e-06,2.28810294031486,25.4073239268229,26.5660835779687,26.6522628384123,26.9361236429627,26.2417470531016,26.6296707904188,26.2823644790179,24.2763532069238,23.9161818462665,25.1755611921036,24.5237036049226,23.2890698947233,24.398764995053
"AIPGENE25415",NA,NA,NA,NA,27.9347939346403,27.5442042975308,27.7148014264187,27.6383146354962,27.6337507910418,27.1112655148749,NA,NA,NA,NA,NA,NA
"AIPGENE25424",NA,NA,NA,NA,23.053572960112,22.2803804783216,22.5653338582255,NA,22.4167075731736,NA,NA,NA,NA,NA,NA,NA
