Protein.ID	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity
AIPGENE357	0	20589108	27053982	0	0	9383654	2405487.2	0	0	0	0	0
AIPGENE3574	0	0	0	0	0	0	25241544	0	0	0	0	0
AIPGENE3588	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE3594	21146244	0	65894716	0	4276056.5	5864189.5	238572860	188400580	271611800	298629470	310786940	150463650
AIPGENE3595	33466580	15356233	74856340	8080229	46872660	37580880	103583910	72912350	27558754	75199950	77045000	50009640
AIPGENE3598	0	4836927	21817690	0	0	0	0	0	5696142	0	0	0
AIPGENE3603	0	0	0	0	0	0	4154046	6618642.5	0	0	9018824	0
AIPGENE3604	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE3632	13518975	10355911	16454842	0	0	0	43162720	40938490	35747588	81682240	89720980	47700652
AIPGENE3636	0	0	0	0	0	0	0	0	10358080	0	13960803	15497035
AIPGENE3637	0	0	0	0	0	0	35096864	112351920	61718210	106689070	90974110	16444512
AIPGENE365	0	0	0	0	0	0	25576952	9075034	34246172	34678270	25037070	8314857.5
AIPGENE3664	0	0	0	0	0	0	0	0	9852840	0	0	0
AIPGENE3693	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE3701	48133810	23240862	43664984	9529853	11539596	30816470	237183180	145013360	154821920	222859500	179553070	221428420
AIPGENE3718	0	0	0	0	0	0	25713560	29247660	23272588	40183784	47452412	38739640
AIPGENE3722	0	0	0	0	0	0	0	0	0	0	3562207.5	0
AIPGENE3723	13995206	12756708	20228998	9860886	5367493.5	16088435	102017880	61375556	99577270	62902650	75878830	33841376
AIPGENE3745	0	0	0	0	0	0	5337013	0	3581146.8	0	0	0
AIPGENE3768	0	0	0	0	0	0	4973292	5347524	0	0	6579716	16060415
AIPGENE3773	0	0	0	0	0	0	38559970	41256484	26545242	21748138	36544890	57912484
AIPGENE3776	0	0	0	0	0	0	14739484	16982672	21570274	28766008	11793734	0
AIPGENE3788	0	0	0	0	0	0	82775420	111425816	36826864	52480356	48463824	39005656
AIPGENE3800	0	0	0	0	0	0	0	0	0	0	24060676	0
AIPGENE3805	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE3808	179645810	125473650	308817920	87485350	55193870	81965770	1185220600	963072960	1231625100	1025538370	1502683000	1334367200
AIPGENE3817	0	0	0	0	0	0	102313520	48889264	26051172	24379356	28308032	94047010
AIPGENE3860	0	0	0	0	0	0	15418180	9074492	15154599	13960136	9431790	0
AIPGENE3866	14484723	17243480	41858864	22576256	22073872	32796772	8827568	3793749	19216810	12616305	6235151	0
AIPGENE3877	0	0	0	0	0	0	30119138	82645120	45650784	4154702.2	43509828	20480618
AIPGENE3878	10952406	22118352	92661740	18769336	20342820	21537992	791965300	1308948000	878178300	952066560	884161150	1057291600
AIPGENE3880	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE3884	4656553000	2455614200	5730755000	3189970000	4046558700	3372407000	1864266800	898178370	2017492700	1319722400	2439473700	2052764700
AIPGENE3886	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE3889	0	0	0	0	0	0	34975444	16045302	22065792	42463430	12017329	15558918
AIPGENE3892	0	0	0	0	0	0	4343199.5	0	1933498.4	0	0	0
AIPGENE3899	0	0	30784824	9518646	0	0	50124696	0	24480660	19507706	33344664	13853737
AIPGENE3905	0	0	16470835	0	0	0	0	0	0	0	0	0
AIPGENE3906	381380400	572375900	1032318000	509869020	273461500	471472960	47391016	11588578	48984884	19426318	41723840	64879630
AIPGENE391	13620054	0	19868592	0	0	0	105014460	42043560	73148030	38396656	106164936	14893835
AIPGENE3914	0	0	0	0	0	0	7629428	9064205	8504125	8190559.5	9534441	5689400
AIPGENE393	0	19517132	34703428	16936676	13448854	22174568	63640550	37940030	55562160	42878624	38257410	10458165
AIPGENE3932	17424106	16930544	21781888	18086202	11343924	12467195	0	0	0	0	0	0
AIPGENE3936	0	0	0	0	0	0	8603808	5012983.5	20109654	14926982	7474678	0
AIPGENE395	0	0	74219840	0	0	0	36987360	12256225	58138960	17012884	18157982	5399078.5
AIPGENE3953	0	0	0	0	0	0	1527023.8	12735483	6537235.5	10593069	0	0
AIPGENE3957	33993516	0	43805530	15328682	13521385	0	121653590	116577540	128464700	124391860	125904750	82801390
AIPGENE3961	47318644	27127024	99813300	0	19749916	18741586	2721872	0	0	4117480.5	18598340	0
AIPGENE3963	0	0	0	0	0	0	2382606.8	2218350	2104086.8	11020398	7884461	0
AIPGENE3965	0	0	0	0	0	0	14618732	8718549	0	0	17316512	17559924
AIPGENE3975	0	12068428	18707282	0	0	0	3984753.5	0	0	0	0	0
AIPGENE3979	0	0	0	0	0	0	9673041	2621627.5	8802945	7713949	5131644	7186160
AIPGENE3984	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE3988	0	0	0	0	0	0	471661950	194180160	254505810	287468300	327126400	247221470
AIPGENE4001	0	0	0	0	0	0	150104420	216684530	182948370	126833390	132440824	124057870
AIPGENE4014	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE4016	0	0	38294024	0	5832506.5	0	10163350	26793828	18518116	31487416	51798110	21018826
AIPGENE4033	0	0	0	0	0	0	12159506	5581375	14549221	5883576	5110069.5	0
AIPGENE4044	4030114.5	0	0	0	0	0	315132930	200940600	246401260	353950400	342215580	210994030
AIPGENE4046	17399810	0	19596816	0	0	0	149584140	98299110	208776590	317755870	344942140	226836740
AIPGENE4048	296892480	162032160	290783170	127850936	143773250	129517240	29426652	16619065	19018660	35635240	26390792	11531264
