GO.ID	Term	Annotated	Significant	Expected	P_value
GO:0032787	monocarboxylic acid metabolic process	433	67	24.03	0.03659
GO:0015031	protein transport	1224	114	67.93	0.03671
GO:0030835	negative regulation of actin filament depolymerization	46	15	2.55	0.03903
GO:0019285	glycine betaine biosynthetic process from choline	14	3	0.78	0.03920
GO:0050832	defense response to fungus	14	3	0.78	0.03920
GO:0043101	purine-containing compound salvage	15	8	0.83	0.03938
GO:0008298	intracellular mRNA localization	15	6	0.83	0.03952
GO:0006525	arginine metabolic process	18	6	1	0.03953
GO:0000245	spliceosomal complex assembly	22	4	1.22	0.03968
GO:0048255	mRNA stabilization	7	3	0.39	0.03969
GO:0031663	lipopolysaccharide-mediated signaling pathway	19	3	1.05	0.03974
GO:0009115	xanthine catabolic process	6	2	0.33	0.03975
GO:0022417	protein maturation by protein folding	6	2	0.33	0.03975
GO:0051409	response to nitrosative stress	6	2	0.33	0.03975
GO:0046449	creatinine metabolic process	6	2	0.33	0.03975
GO:0006419	alanyl-tRNA aminoacylation	6	2	0.33	0.03975
GO:0043985	histone H4-R3 methylation	6	2	0.33	0.03975
GO:0019372	lipoxygenase pathway	6	2	0.33	0.03975
GO:0006564	L-serine biosynthetic process	6	2	0.33	0.03975
GO:0007409	axonogenesis	478	29	26.53	0.04073
GO:0055002	striated muscle cell development	73	14	4.05	0.04609
GO:0032869	cellular response to insulin stimulus	110	12	6.1	0.04663
GO:0042110	T cell activation	106	11	5.88	0.04671
GO:0008209	androgen metabolic process	15	3	0.83	0.04703
GO:0045931	positive regulation of mitotic cell cycle	59	4	3.27	0.04719
GO:0050821	protein stabilization	73	8	4.05	0.04876
GO:0006511	ubiquitin-dependent protein catabolic process	301	26	16.71	0.05231
GO:0042439	ethanolamine-containing compound metabolic process	50	7	2.77	0.05259
GO:0006090	pyruvate metabolic process	53	16	2.94	0.05262
GO:0010718	positive regulation of epithelial to mesenchymal transition	26	4	1.44	0.05327
GO:0031145	anaphase-promoting complex-dependent catabolic process	26	4	1.44	0.05327
GO:0016043	cellular component organization	4619	288	256.35	0.05345
GO:0007043	cell-cell junction assembly	77	7	4.27	0.05354
GO:1902305	regulation of sodium ion transmembrane transport	9	3	0.5	0.05356
GO:0006620	post-translational protein targeting to endoplasmic reticulum membrane	11	3	0.61	0.05357
GO:0044205	'de novo' UMP biosynthetic process	7	2	0.39	0.05364
GO:0006044	N-acetylglucosamine metabolic process	7	2	0.39	0.05364
GO:0071476	cellular hypotonic response	7	2	0.39	0.05364
GO:0006108	malate metabolic process	7	2	0.39	0.05364
GO:0034982	mitochondrial protein processing	7	2	0.39	0.05364
GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process	7	2	0.39	0.05364
GO:0051561	positive regulation of mitochondrial calcium ion concentration	7	2	0.39	0.05364
GO:0055129	L-proline biosynthetic process	7	2	0.39	0.05364
GO:0016540	protein autoprocessing	7	2	0.39	0.05364
GO:0006552	leucine catabolic process	7	2	0.39	0.05364
GO:0006556	S-adenosylmethionine biosynthetic process	7	2	0.39	0.05364
GO:0006526	arginine biosynthetic process	7	2	0.39	0.05364
GO:0060606	tube closure	98	3	5.44	0.05400
GO:0008219	cell death	1337	82	74.2	0.05461
GO:0051049	regulation of transport	883	57	49.01	0.05512
GO:0019835	cytolysis	55	11	3.05	0.05514
GO:0006213	pyrimidine nucleoside metabolic process	33	8	1.83	0.05523
GO:0007308	oocyte construction	24	6	1.33	0.05531
GO:0010876	lipid localization	219	16	12.15	0.05535
GO:0071267	L-methionine salvage	8	4	0.44	0.05537
GO:0019482	beta-alanine metabolic process	4	3	0.22	0.05541
GO:0046209	nitric oxide metabolic process	24	4	1.33	0.05541
GO:0060416	response to growth hormone	8	3	0.44	0.05542
GO:0042773	ATP synthesis coupled electron transport	10	3	0.55	0.05542
GO:0006041	glucosamine metabolic process	2	2	0.11	0.05545
GO:0051410	detoxification of nitrogen compound	2	2	0.11	0.05545
GO:0048134	germ-line cyst formation	3	2	0.17	0.05545
GO:0006106	fumarate metabolic process	3	2	0.17	0.05545
GO:0032623	interleukin-2 production	22	3	1.22	0.05546
GO:0048499	synaptic vesicle membrane organization	4	2	0.22	0.05546
GO:0090232	positive regulation of spindle checkpoint	5	2	0.28	0.05546
GO:0006531	aspartate metabolic process	5	2	0.28	0.05546
GO:0033173	calcineurin-NFAT signaling cascade	6	2	0.33	0.05546
GO:0045478	fusome organization	7	2	0.39	0.05546
GO:0030730	sequestering of triglyceride	8	2	0.44	0.05547
GO:0014021	secondary neural tube formation	1	1	0.06	0.05550
GO:0018916	nitrobenzene metabolic process	1	1	0.06	0.05550
GO:0019255	glucose 1-phosphate metabolic process	1	1	0.06	0.05550
GO:0060361	flight	1	1	0.06	0.05550
