Protein.ID	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity
AIPGENE9235	9045487	8550754	0	2414185.5	0	0	3425324.8	0	2083895	2012244	0	0
AIPGENE9238	0	0	0	0	0	0	538186110	473114656	414149760	555031870	368677472	416816288
AIPGENE9243	0	0	16284872	0	0	0	283452960	421924768	307914912	315814688	148302528	77643400
AIPGENE9256	20040328	31613644	61474160	0	0	0	554779010	258013648	275902432	336076608	404650912	160794048
AIPGENE9258	0	0	0	0	0	0	0	202017296	4884386	9435500	9555165	0
AIPGENE9262	0	0	0	0	0	0	23081412	23752512	27968802	37004352	29773164	18025868
AIPGENE9286	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE9290	0	9872571	0	0	0	0	2743300.5	0	3071870	0	0	0
AIPGENE9314	0	0	0	0	0	0	28721542	30590984	45036580	3490323.2	44132108	53685384
AIPGENE9316	0	0	0	0	0	0	20241456	20309830	15250975	9548250	19810558	30643842
AIPGENE9333	10692730	24813200	16761032	0	0	0	0	0	0	0	0	0
AIPGENE9335	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE9338	359361632	408496224	699474050	505975616	331724096	282439808	1901915010	1863022980	2325465090	2361496830	2326796290	1870546940
AIPGENE9351	2401518	0	0	0	0	0	91308264	67130992	66310156	25773344	41793716	22454762
AIPGENE9354	0	0	0	0	0	0	67935424	63450844	78168864	83981768	72091952	20840210
AIPGENE9355	0	0	0	0	0	0	0	0	0	0	11083461	10797846
AIPGENE9360	0	0	0	0	0	0	12566790	9119550	7966437.5	19991536	12434359	6633643
AIPGENE9363	0	0	0	0	0	0	0	0	0	6214991.5	0	0
AIPGENE9365	37591860	39627924	69094976	30489874	23032218	17479188	17542914	3012573.5	1504917.1	10431945	12163727	10451345
AIPGENE9384	0	0	0	0	0	0	6666424	0	0	7457524	0	0
AIPGENE9405	0	0	0	0	0	0	82555880	65349432	46273920	76921616	57235008	49999536
AIPGENE9413	0	43482472	65191240	0	0	21080832	97056008	63519496	103739072	107044384	64408456	126203712
AIPGENE9512	0	0	0	0	0	0	0	10588350	0	7664401.5	0	0
AIPGENE9531	37085092	18480330	78298128	14178552	0	0	24604678	10247985	7796862	37493200	18178008	8429196
