Protein.ID	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity
AIPGENE1806	13043790	0	0	0	0	0	24355606	0	0	18486078	15263304	16929876
AIPGENE18060	0	0	0	0	0	0	24082010.5	14748016.9	11555273	0	13731095.5	8527693
AIPGENE18106	82382598	69461272	111297140	77048169	54502096	51271610	0	0	0	6372168.5	12314051	0
AIPGENE18108	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE18140	14154558	18152126	22674626	8458355	11095640	8584549	27492598	14261569	21491868	16798238	17412522	17279334
AIPGENE18146	0	0	0	0	0	0	17221618.2	0	6103724	18119996.5	14654408.8	33719678
AIPGENE18175	0	0	0	0	0	0	12620569.5	0	9159369	12596064	20281396	0
AIPGENE18182	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE18183	0	0	0	0	0	0	0	0	5338679.5	5090728.5	0	0
AIPGENE18187	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE18190	0	0	0	0	0	0	2805472.5	0	0	0	0	0
AIPGENE18193	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE18198	0	0	0	0	0	0	0	10135944	5135390	0	0	0
AIPGENE18212	0	0	0	0	0	0	0	0	0	3630984.2	0	0
AIPGENE18276	0	0	0	0	0	0	12449546	8378428.5	5717070	10523307.3	0	3249634.8
AIPGENE1831	0	0	0	0	0	0	64436434.5	55182879.5	62470338.7	66692438	64837463	8430833
AIPGENE18343	0	0	0	0	0	0	7238703.5	8366049	0	7789278	0	0
AIPGENE18356	0	0	24606292	0	0	0	133237494.8	65580437	75696187.7	140857760.5	148547700.7	62975236
AIPGENE1836	10219472	32468514	29294258	9606072	5138836	10667759	4380193	1981011.4	2368045	2980911.2	2946523.5	0
AIPGENE18391	0	0	0	0	0	0	0	0	0	5970814	4328643.5	0
